trade_num,entry_time,exit_time,symbol,side,entry,sl,tp,exit,outcome,sl_pips,r_multiple,risk_amount,pnl,balance,bars_held,comment
32,2025-06-20 08:55:00,2025-06-20 11:20:00,EURUSD,SELL,1.15147,1.1527100000000001,1.1489899999999997,1.1527100000000001,LOSS,124.00000000001297,-1.0,66.05961001992375,-66.05961001992375,13145.862393964826,29,Bearish ICT: Sweep+BOS+FVG (Disp=57.0p)
33,2025-06-23 08:05:00,2025-06-23 08:30:00,EURUSD,BUY,1.14649,1.14604,1.1473900000000001,1.14604,LOSS,45.00000000000614,-1.0,65.72931196982412,-65.72931196982412,13080.133081995002,5,Bullish ICT: Sweep+BOS+FVG (Disp=86.0p)
34,2025-07-07 12:30:00,2025-07-07 12:35:00,EURUSD,SELL,1.17334,1.1738700000000002,1.1722799999999998,1.1722799999999998,WIN,53.00000000001414,2.0,65.400665409975,130.80133081995,13210.934412814951,1,Bearish ICT: Sweep+BOS+FVG (Disp=248.0p)
35,2025-07-07 12:35:00,2025-07-07 12:40:00,EURUSD,SELL,1.17334,1.1738700000000002,1.1722799999999998,1.1722799999999998,WIN,53.00000000001414,2.0,66.05467206407477,132.10934412814953,13343.043756943101,1,Bearish ICT: Sweep+BOS+FVG (Disp=248.0p)
36,2025-07-08 12:55:00,2025-07-08 13:00:00,EURUSD,SELL,1.17085,1.1713,1.1699499999999998,1.1713,LOSS,45.00000000000614,-1.0,66.7152187847155,-66.7152187847155,13276.328538158386,1,Bearish ICT: Sweep+BOS+FVG (Disp=92.0p)
37,2025-07-09 08:10:00,2025-07-09 08:15:00,EURUSD,SELL,1.17038,1.17067,1.1697999999999997,1.17067,LOSS,29.000000000012346,-1.0,66.38164269079194,-66.38164269079194,13209.946895467594,1,Bearish ICT: Sweep+BOS+FVG (Disp=80.0p)
38,2025-07-09 08:15:00,2025-07-09 08:20:00,EURUSD,SELL,1.17038,1.17067,1.1697999999999997,1.17067,LOSS,29.000000000012346,-1.0,66.04973447733798,-66.04973447733798,13143.897160990256,1,Bearish ICT: Sweep+BOS+FVG (Disp=80.0p)
39,2025-07-18 08:10:00,2025-07-18 08:15:00,EURUSD,BUY,1.16446,1.1640199999999998,1.1653400000000005,1.1653400000000005,WIN,44.00000000002179,2.0,65.71948580495129,131.43897160990258,13275.33613260016,1,Bullish ICT: Sweep+BOS+FVG (Disp=138.0p)
40,2025-07-18 08:15:00,2025-07-18 08:20:00,EURUSD,BUY,1.16446,1.1640199999999998,1.1653400000000005,1.1653400000000005,WIN,44.00000000002179,2.0,66.3766806630008,132.7533613260016,13408.089493926162,1,Bullish ICT: Sweep+BOS+FVG (Disp=138.0p)
41,2025-07-22 08:15:00,2025-07-22 08:20:00,EURUSD,SELL,1.17013,1.17036,1.1696699999999995,1.1696699999999995,WIN,23.000000000017447,2.0,67.0404474696308,134.0808949392616,13542.170388865423,1,Bearish ICT: Sweep+BOS+FVG (Disp=108.0p)
42,2025-07-22 08:20:00,2025-07-22 08:25:00,EURUSD,SELL,1.17013,1.17036,1.1696699999999995,1.1696699999999995,WIN,23.000000000017447,2.0,67.71085194432712,135.42170388865424,13677.592092754077,1,Bearish ICT: Sweep+BOS+FVG (Disp=108.0p)
43,2025-07-24 09:15:00,2025-07-24 09:20:00,EURUSD,BUY,1.17384,1.17315,1.1752200000000002,1.1752200000000002,WIN,69.00000000000794,2.0,68.38796046377038,136.77592092754077,13814.368013681618,1,Bullish ICT: Sweep+BOS+FVG (Disp=213.0p)
44,2025-07-24 09:20:00,2025-07-24 09:25:00,EURUSD,BUY,1.17384,1.17315,1.1752200000000002,1.1752200000000002,WIN,69.00000000000794,2.0,69.0718400684081,138.1436801368162,13952.511693818435,1,Bullish ICT: Sweep+BOS+FVG (Disp=213.0p)
45,2025-07-30 14:45:00,2025-07-30 14:50:00,EURUSD,SELL,1.14784,1.1497400000000002,1.1440399999999995,1.1440399999999995,WIN,190.00000000002348,2.0,69.76255846909217,139.52511693818434,14092.03681075662,1,Bearish ICT: Sweep+BOS+FVG (Disp=497.0p)
46,2025-07-30 14:50:00,2025-07-30 14:55:00,EURUSD,SELL,1.14784,1.1497400000000002,1.1440399999999995,1.1440399999999995,WIN,190.00000000002348,2.0,70.4601840537831,140.9203681075662,14232.957178864186,1,Bearish ICT: Sweep+BOS+FVG (Disp=497.0p)
47,2025-08-07 07:10:00,2025-08-07 07:15:00,EURUSD,SELL,1.1668,1.1671,1.1662000000000001,1.1662000000000001,WIN,29.999999999996692,2.0,71.16478589432093,142.32957178864186,14375.286750652827,1,Bearish ICT: Sweep+BOS+FVG (Disp=135.0p)
48,2025-08-07 07:15:00,2025-08-07 07:20:00,EURUSD,SELL,1.1668,1.1671,1.1662000000000001,1.1662000000000001,WIN,29.999999999996692,2.0,71.87643375326414,143.75286750652828,14519.039618159355,1,Bearish ICT: Sweep+BOS+FVG (Disp=135.0p)
49,2025-08-20 14:00:00,2025-08-20 14:05:00,EURUSD,BUY,1.16648,1.16597,1.1675,1.16597,LOSS,51.00000000000104,-1.0,72.59519809079677,-72.59519809079677,14446.444420068558,1,Bullish ICT: Sweep+BOS+FVG (Disp=36.0p)
50,2025-08-20 14:05:00,2025-08-20 14:15:00,EURUSD,BUY,1.16648,1.16597,1.1675,1.16597,LOSS,51.00000000000104,-1.0,72.2322221003428,-72.2322221003428,14374.212197968214,2,Bullish ICT: Sweep+BOS+FVG (Disp=36.0p)
