period,start,end,trades,win_rate,expectancy,profit_factor,roi_pct,max_dd_pct
1,2025-01-01 17:00:00,2025-04-02 13:20:00,13,84.61538461538461,1.5384615384615385,10.582423885722996,10.453955490733005,0.9975000000000077
2,2025-04-02 13:25:00,2025-07-02 08:45:00,20,90.0,1.7,16.43936699838845,18.42159046166906,0.9974999999999944
3,2025-07-02 08:50:00,2025-10-01 04:15:00,23,65.21739130434783,0.9565217391304348,3.70110116375641,11.533479923099948,2.4751246878124893
4,2025-10-01 04:20:00,2025-12-31 16:55:00,15,86.66666666666667,1.6,12.850970665826532,12.67407999609677,0.9974999999999871
