time,equity,balance
2025-01-01 17:00:00,10000.0,10000.0
2025-01-16 07:30:00,10100.0,10100.0
2025-01-20 08:45:00,10201.0,10201.0
2025-01-20 08:50:00,10303.01,10303.01
2025-01-29 08:20:00,10406.0401,10406.0401
2025-01-29 08:25:00,10510.100501,10510.100501
2025-02-05 08:30:00,10615.20150601,10615.20150601
2025-02-05 08:35:00,10721.353521070101,10721.353521070101
2025-02-18 07:45:00,10828.567056280803,10828.567056280803
2025-02-18 07:45:00,10936.85272684361,10936.85272684361
2025-02-21 10:05:00,10882.168463209391,10882.168463209391
2025-02-21 10:05:00,10827.757620893344,10827.757620893344
2025-03-28 08:05:00,10936.035197102277,10936.035197102277
2025-03-28 08:05:00,11045.3955490733,11045.3955490733
2025-04-09 13:35:00,11155.849504564034,11155.849504564034
2025-04-09 14:00:00,11267.407999609673,11267.407999609673
2025-04-16 13:40:00,11380.08207960577,11380.08207960577
2025-04-16 13:45:00,11493.882900401828,11493.882900401828
2025-04-18 07:50:00,11608.821729405847,11608.821729405847
2025-04-18 07:55:00,11724.909946699905,11724.909946699905
2025-04-29 08:45:00,11842.159046166904,11842.159046166904
2025-04-29 08:50:00,11960.580636628572,11960.580636628572
2025-05-07 14:05:00,12080.186442994858,12080.186442994858
2025-05-07 14:10:00,12200.988307424806,12200.988307424806
2025-05-23 07:55:00,12322.998190499055,12322.998190499055
2025-05-23 08:00:00,12446.228172404046,12446.228172404046
2025-05-30 08:15:00,12570.690454128086,12570.690454128086
2025-05-30 08:20:00,12696.397358669366,12696.397358669366
2025-06-17 10:15:00,12823.36133225606,12823.36133225606
2025-06-17 10:15:00,12951.59494557862,12951.59494557862
2025-06-19 08:05:00,13081.110895034406,13081.110895034406
2025-06-19 08:05:00,13211.92200398475,13211.92200398475
2025-06-20 11:20:00,13145.862393964826,13145.862393964826
2025-06-23 08:30:00,13080.133081995002,13080.133081995002
2025-07-07 12:35:00,13210.934412814951,13210.934412814951
2025-07-07 12:40:00,13343.043756943101,13343.043756943101
2025-07-08 13:00:00,13276.328538158386,13276.328538158386
2025-07-09 08:15:00,13209.946895467594,13209.946895467594
2025-07-09 08:20:00,13143.897160990256,13143.897160990256
2025-07-18 08:15:00,13275.33613260016,13275.33613260016
2025-07-18 08:20:00,13408.089493926162,13408.089493926162
2025-07-22 08:20:00,13542.170388865423,13542.170388865423
2025-07-22 08:25:00,13677.592092754077,13677.592092754077
2025-07-24 09:20:00,13814.368013681618,13814.368013681618
2025-07-24 09:25:00,13952.511693818435,13952.511693818435
2025-07-30 14:50:00,14092.03681075662,14092.03681075662
2025-07-30 14:55:00,14232.957178864186,14232.957178864186
2025-08-07 07:15:00,14375.286750652827,14375.286750652827
2025-08-07 07:20:00,14519.039618159355,14519.039618159355
2025-08-20 14:05:00,14446.444420068558,14446.444420068558
2025-08-20 14:15:00,14374.212197968214,14374.212197968214
2025-09-04 08:30:00,14302.341136978373,14302.341136978373
2025-09-04 08:30:00,14230.829431293481,14230.829431293481
2025-09-10 08:15:00,14159.675284137014,14159.675284137014
2025-09-11 09:55:00,14301.272036978384,14301.272036978384
2025-09-11 09:55:00,14444.284757348167,14444.284757348167
2025-09-24 08:40:00,14588.727604921649,14588.727604921649
2025-10-17 07:10:00,14734.614880970865,14734.614880970865
2025-10-17 07:55:00,14881.961029780574,14881.961029780574
2025-10-28 12:05:00,15030.78064007838,15030.78064007838
2025-11-05 08:25:00,15181.088446479163,15181.088446479163
2025-11-05 08:30:00,15332.899330943956,15332.899330943956
2025-11-20 08:50:00,15486.228324253396,15486.228324253396
2025-11-20 08:50:00,15641.09060749593,15641.09060749593
2025-11-21 07:35:00,15562.88515445845,15562.88515445845
2025-11-21 07:40:00,15485.070728686158,15485.070728686158
2025-12-03 08:20:00,15639.92143597302,15639.92143597302
2025-12-03 08:25:00,15796.32065033275,15796.32065033275
2025-12-10 14:15:00,15954.283856836077,15954.283856836077
2025-12-10 14:20:00,16113.826695404437,16113.826695404437
2025-12-19 08:50:00,16274.964962358481,16274.964962358481
2025-12-19 08:50:00,16437.714611982065,16437.714611982065
